state,cases_new,population,year
Johor,5734,3794200,2020
Johor,239206,3794200,2021
Johor,148359,3794200,2022
Kedah,3024,2193600,2020
Kedah,165362,2193600,2021
Kedah,140679,2193600,2022
Kelantan,758,1928900,2020
Kelantan,168285,1928900,2021
Kelantan,84095,1928900,2022
Kuala Lumpur,13487,1746600,2020
Kuala Lumpur,197363,1746600,2021
Kuala Lumpur,222575,1746600,2022
Labuan,1701,100100,2020
Labuan,9123,100100,2021
Labuan,11408,100100,2021
Melaka,1225,937800,2020
Melaka,75065,937800,2021
Melaka,58316,937800,2022
Negeri Sembilan,7828,1128900,2020
Negeri Sembilan,105736,1128900,2021
Negeri Sembilan,107577,1128900,2022
Pahang,1365,1684700,2020
Pahang,93981,1684700,2021
Pahang,81778,1684700,2022
Perak,3195,2509000,2020
Perak,125844,2509000,2021
Perak,96914,2509000,2022
Perlis,46,255500,2020
Perlis,7123,255500,2021
Perlis,11220,255500,2022
Pulau Pinang,3488,1774200,2020
Pulau Pinang,157616,1774200,2021
Pulau Pinang,135329,1774200,2022
Putrajaya,282,116100,2020
Putrajaya,9107,116100,2021
Putrajaya,17770,116100,2022
Sabah,37040,3832500,2020
Sabah,203492,3832500,2021
Sabah,152651,3832500,2022
Sarawak,1117,2824700,2020
Sarawak,251183,2824700,2021
Sarawak,62314,2824700,2022
Selangor,32395,6555100,2020
Selangor,754235,6555100,2021
Selangor,684438,6555100,2022
Terengganu,325,1275200,2020
Terengganu,82355,1275200,2021
Terengganu,46688,1275200,2022
